image_name,fused_text
417.jpeg,"- OCR_TEXT: What came 1st Sun Or Moon? Moon Madam! How??? Madam Ji Honey'moon' Hoga Tabhi Toh son Aayega
- IMAGE_DESCRIPTION: A scene from a classroom where a teacher is asking a question to a student, and the student responds with a humorous answer.
- TARGET_GROUP: Children
- INTENT: Humorous
- EXPLANATION: The image is a humorous response to a question about which came first, the sun or the moon, and the student's answer is a playful and unexpected one."
160.jpeg,"DING DING DING
CHUSO MERA LING"
645.jpeg,"- OCR_TEXT: 21 दिनों में हम सभी खा-खाकर ऐसे हो जाएंगे कि 14 अप्रैल को मोदी जी सम्बोधित करेंगे, ""मेरे प्यारे हाथियों""...
- IMAGE_DESCRIPTION: The image contains text in Hindi and a cartoon illustration of a person laughing.
- TARGET_GROUP: The image is not suitable for children due to the cartoon illustration of a person laughing.
- INTENT: Offensive
- EXPLANATION: The image contains offensive content, specifically the cartoon illustration of a person laughing, which is inappropriate for children."
531.jpeg,"OCR_TEXT: बुरा वक्त भी कत जाता है बस फोन चार्ज होना चाहिए
IMAGE_DESCRIPTION: The image contains text in Hindi, which translates to ""Even in bad times, it's better to charge your phone.""
TARGET_GROUP: neutral
INTENT: neutral
EXPLANATION: The image contains text in Hindi and does not contain any content that would be considered hateful or offensive."
696.jpg,"- OCR_TEXT: Me to my best friend
- IMAGE_DESCRIPTION: A picture of a man and a woman, with text overlay that reads ""Me to my best friend Chakka hai tu chakka, chal taali baji.""
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a simple photograph with text overlaid on it, and there is no indication of any harmful or offensive content."
340.jpg,"- OCR_TEXT: BHAI IF A GAY GETS INTO A RELATIONSHIP WITH A GIRL WHO RECOGNISES ""HERSELF"" AS A BOY, WOULD THAT BE CONSIDERED STRAIGHT OR LGTV?
- IMAGE_DESCRIPTION: A person with a bindi on their forehead, possibly representing a Hindu identity.
- TARGET_GROUP: The image does not contain any explicit content that would require moderation based on the provided OCR text.
- INTENT: Neutral
- EXPLANATION: The image is a representation of a person with a bindi, which is a traditional Hindu symbol, and the text is a question about the perception of a person who identifies as a boy in a romantic relationship."
761.jpeg,"- OCR_TEXT: Tu 18+ hai ?? Bachpan se...
- IMAGE_DESCRIPTION: A scene from a Hindi television show featuring two women in traditional clothing having a conversation.
- TARGET_GROUP: Adult
- INTENT: Neutral
- EXPLANATION: The image is a scene from a Hindi television show, and the text is a dialogue between two women."
185.jpeg,"- OCR_TEXT: ""Aj mere kutte ne anda diya. Ye kutta kab se anda dene iga. Ye Baburao ka style hai, Apni murgi ka nam kutta Rakha hai re baba. 😄😄😄""
- IMAGE_DESCRIPTION: The image contains a mix of text and images, likely from a social media post or a meme.
- TARGET_GROUP: The content is neutral and does not contain any hateful or offensive language.
- INTENT: Neutral
- EXPLANATION: The image is a mix of text and images, likely from a social media post or a meme. The text appears to be a mix of quotes and phrases, and the images are of two men in a humorous pose."
369.jpeg,"OCR_TEXT: मैदन जी : बेटा कोई यार वाली शायरी सुनाओ छात्र : 'मोटा मरता मोटी, भूखा मरता रेटी, मैदन जी की हैं बो टेंटी और मरता हूं छोटी पे' मैदन जी : बोहेंग!"
587.jpg,"- OCR_TEXT: मौज करदी...भ्राताः
- IMAGE_DESCRIPTION: The image appears to be a meme featuring a character from a popular Indian television show or film. The character is wearing a crown and has a surprised or shocked expression.
- TARGET_GROUP: The image is likely intended for a general audience, as it does not contain any explicit or offensive content.
- INTENT: Neutral
- EXPLANATION: The image is a meme, and its content is not intended to be harmful or offensive."
293.jpg,"- OCR_TEXT: ""oye 'wheat' ko HINDI mein kya kehte han? GAYHOON Tu GAY Hai?""
- IMAGE_DESCRIPTION: The image contains a humorous conversation between two men in a bar, with one of them asking the other if he is gay.
- TARGET_GROUP: The image is not suitable for children or individuals who may be offended by the content.
- INTENT: Offensive
- EXPLANATION: The image contains a derogatory and offensive statement about homosexuality, which is not appropriate for a public or professional setting."
530.jpg,"- OCR_TEXT: anything happens in dholakpur Raja be like:- arre meri to gaan phat Rahi hai jaldi se bheem ko bulaao
- IMAGE_DESCRIPTION: A cartoon character with a large mustache and a crown, wearing a purple and gold outfit with a red sash.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a meme with a humorous tone, showing a character from a cartoon or animated series."
392.jpeg,"- OCR_TEXT: In 3 main fark batao ! Call girl , Girlfriend , Wife ....? Madam ji Prepaid , Postpaid , Unlimited Tu bahar Nikal Bsdk main aarehi hun !"
526.jpg,"- OCR_TEXT: BHAI YE LGBT KYA HOTA HAI? KOI NAYI TV AAYI HAI KYA?
- IMAGE_DESCRIPTION: The image shows a person with a traditional hairstyle and a bindi on their forehead. The background is blurred.
- TARGET_GROUP: The image is not suitable for children due to the traditional hairstyle and bindi.
- INTENT: Hateful
- EXPLANATION: The image contains text in a language that is not English, which suggests that it is not suitable for children. The traditional hairstyle and bindi may be considered offensive or inappropriate for a child-friendly environment."
766.jpg,"- OCR_TEXT: Me after scoring 1 mark more than my best friend
- IMAGE_DESCRIPTION: A scene from the Ramayana, featuring characters in traditional attire.
- TARGET_GROUP: Neutral
- INTENT: Neutral
- EXPLANATION: The image is a meme from the Ramayana, a popular Indian epic, and does not contain any hateful or offensive content."
67.jpg,"- OCR_TEXT: ""bhai ye colourful jhande Wala desh konsa h Aur uss desh ki ladki mujhe inbox m gaali q de rahi h""
- IMAGE_DESCRIPTION: The image appears to be a meme with a man's face in the center, wearing glasses. The text is in a language that seems to be Hindi, and it contains a phrase that translates to ""Brother, you are so colorful, where is your country? And where is the girl's inbox where you are?"" The text is in a bold, capitalized font and is placed over a red background.
- TARGET_GROUP: The image is likely intended for a general audience, including those who are familiar with the language and cultural context of Hindi.
- INTENT: The intent of the image is to be humorous and satirical, poking fun at the idea of a brother being colorful and not knowing where his country is or where his girlfriend's inbox is.
- EXPLANATION: The image is a meme that is likely intended to be funny and light-hearted, and it does not contain any content that would be considered hateful or offensive."
356.jpeg,"- OCR_TEXT: Arre baba kaise sune gi woh Pehle kaan se toh haath hata.
- IMAGE_DESCRIPTION: The image contains a humorous meme with a man and a woman in a romantic setting, and a text overlay that translates to ""You're going to be married soon, won't you?"" The meme is from the website laughingcolours.com.
- TARGET_GROUP: The image is suitable for all age groups.
- INTENT: Neutral
- EXPLANATION: The image is a light-hearted meme that plays on the idea of a romantic relationship and the anticipation of marriage."
130.jpeg,"BUNTY TERA SABUN SLOW H KYA
MAREGI SABSE PHELE TU HI MAREGI CORONA SE"
580.jpg,"- OCR_TEXT: Trying Hard To Recall An Answer In Exam
- IMAGE_DESCRIPTION: A collage of two images featuring a man in a classroom, one with a text overlay and the other with a brain meme.
- TARGET_GROUP: The image is suitable for all age groups.
- INTENT: Neutral
- EXPLANATION: The image is a humorous collage with a text overlay and a brain meme, which is not intended to be offensive or hateful."
268.jpg,"OCR_TEXT: Kiya bola lowde tereko larke pasand he
IMAGE_DESCRIPTION: A meme featuring a green frog character with a bandage on its back, reaching out to touch another character's back. The text on the image reads: ""Kiya bola lowde tereko larke pasand he.""
TARGET_GROUP: The image is suitable for all age groups.
INTENT: Neutral
EXPLANATION: The image is a meme with a humorous and lighthearted tone, depicting a frog character reaching out to touch another character's back. The text is a playful addition to the meme."
700.jpg,"- OCR_TEXT: O LAL DUPATTE WALI TERA NAAM TO BATAAA...
- IMAGE_DESCRIPTION: A humorous meme comparing the dancing style of Superman to that of a man in a colorful outfit.
- TARGET_GROUP: None
- INTENT: Neutral
- EXPLANATION: The image is a light-hearted meme, not intended to be offensive or hateful."
184.jpeg,"- OCR_TEXT: ""GOPI BEN""
- IMAGE_DESCRIPTION: ""A cartoon character with a green background and the text 'GOPI BEN' in the foreground.""
- TARGET_GROUP: ""Children""
- INTENT: Neutral
- EXPLANATION: The image is a cartoon character with a green background and the text ""GOPI BEN"" in the foreground, which is likely intended for children."
320.jpg,"- OCR_TEXT: Hey gais... let's not argue
- IMAGE_DESCRIPTION: A meme featuring a group of cows in a field, with a text overlay that reads ""Hey gais... let's not argue.""
- TARGET_GROUP: Neutral
- INTENT: Neutral
- EXPLANATION: The image is a meme with a humorous tone, encouraging a calm and non-confrontational approach to interactions with cows."
91.jpeg,"- OCR_TEXT: Tum Batao Akbar Ka Janam Kab Hua ?
- IMAGE_DESCRIPTION: The image contains a mix of text and a scene from a movie.
- TARGET_GROUP: The image is suitable for all target groups.
- INTENT: Neutral
- EXPLANATION: The image contains a mix of text and a scene from a movie, which is suitable for all target groups."
92.jpeg,"- OCR_TEXT: I think I'm in love.
- IMAGE_DESCRIPTION: The image depicts two animated characters, one with a heart-shaped head and the other with a brain-shaped head, engaged in a conversation. The text on the image reads, ""I think I'm in love."" The text ""Bsdk mna kri thi ladki dekhne ko"" is also present.
- TARGET_GROUP: The image is not suitable for children due to the presence of explicit content.
- INTENT: Offensive
- EXPLANATION: The image contains explicit content that may be inappropriate for children and should be removed from public display."
589.jpg,"- OCR_TEXT: ""स्त्री मोह नर्क का द्वार है ! Guru ji Abhi bhi time hai shudhar ja bhai 😊👍""
- IMAGE_DESCRIPTION: A man dressed in a priest's outfit is reading a book, with a red dot on his forehead and a rosary around his neck. The text is in Hindi and appears to be a meme.
- TARGET_GROUP: The image is likely intended for a general audience, including those who are not religious or who do not understand Hindi.
- INTENT: Neutral
- EXPLANATION: The image is a meme that is likely intended to be funny or humorous, but it may not be appropriate for everyone."
503.jpeg,"- OCR_TEXT: ""Bio me IDFC likha tha muje laga bank me kam karti h""
- IMAGE_DESCRIPTION: ""A meme featuring a dog with earphones, with text in a different language.""
- TARGET_GROUP: ""neutral""
- INTENT: ""neutral""
- EXPLANATION: ""The image is a meme with a dog wearing earphones, and the text is in a different language. There is no indication of any hateful or offensive content."""
115.jpeg,"- OCR_TEXT: Scientists after the discovery of laughing gas:
- IMAGE_DESCRIPTION: A meme featuring a man and a woman, with the text ""Arey Hasenge log!"" in the foreground.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a meme with a humorous tone, and there is no indication of any hateful or offensive content."
655.jpeg,"- OCR_TEXT: ""My Dad*** Me*** Dekh...Dekh Na Kese Padhai Kar Raha Hai...""
- IMAGE_DESCRIPTION: ""Two images are shown side by side. The top image shows a person holding a newspaper above their head, while the bottom image shows a person holding their head in their hands. The text in the image reads, ""My Dad*** Me*** Dekh...Dekh Na Kese Padhai Kar Raha Hai...""
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a humorous meme that plays on the idea of a person holding a newspaper above their head, which is a common expression in Hindi and is often used to convey a sense of frustration or annoyance. The text in the image is a play on words, and the target group is likely to be anyone who finds humor in this type of expression."
